Block Size,Insertion Sort Time (ms),Selection Sort Time (ms)
86200,3727.00,7352.00
86300,3715.00,7388.00
86400,3685.00,7389.00
86500,3689.00,7415.00
86600,3715.00,7442.00
86700,3727.00,7438.00
86800,3708.00,7489.00
86900,3808.00,7483.00
87000,3727.00,7498.00
87100,3757.00,7533.00
87200,3772.00,7544.00
87300,3766.00,7555.00
87400,3792.00,7636.00
87500,3807.00,7571.00
87600,3785.00,7608.00
87700,3907.00,7620.00
87800,3815.00,7629.00
87900,3885.00,7838.00
88000,3981.00,7890.00
88100,3870.00,9256.00
88200,5732.00,11461.00
88300,5675.00,12197.00
88400,3902.00,7737.00
88500,3970.00,7769.00
88600,3873.00,7770.00
88700,3976.00,7793.00
88800,3941.00,7837.00
88900,3988.00,7830.00
89000,3997.00,7859.00
89100,3931.00,7868.00
89200,3942.00,7887.00
89300,4171.00,7965.00
89400,3957.00,8030.00
89500,4025.00,7959.00
89600,4007.00,7964.00
89700,3999.00,7985.00
89800,4074.00,8059.00
89900,4069.00,8067.00
90000,4014.00,8052.00
90100,4022.00,8051.00
90200,4009.00,8055.00
90300,4048.00,8143.00
90400,4061.00,8093.00
90500,4038.00,8171.00
90600,4123.00,8130.00
90700,4079.00,8151.00
90800,4107.00,8323.00
90900,4110.00,8230.00
91000,4168.00,8295.00
91100,4693.00,8274.00
91200,4151.00,8307.00
91300,4239.00,8291.00
91400,4324.00,8297.00
91500,4167.00,8307.00
91600,4145.00,8308.00
91700,4135.00,8326.00
91800,4159.00,8377.00
91900,4158.00,8454.00
92000,4276.00,8420.00
92100,4187.00,8404.00
92200,4178.00,8483.00
92300,4268.00,8441.00
92400,4212.00,8459.00
92500,4273.00,8500.00
92600,4239.00,8497.00
92700,4319.00,8593.00
92800,4243.00,8545.00
92900,4455.00,8543.00
93000,4301.00,9205.00
93100,4376.00,8780.00
93200,4330.00,8724.00
93300,4401.00,11956.00
93400,7829.00,14212.00
93500,7111.00,12717.00
93600,6346.00,13042.00
93700,6437.00,12915.00
93800,6344.00,12877.00
93900,6319.00,12668.00
94000,6330.00,12781.00
94100,6063.00,12789.00
94200,6418.00,12772.00
94300,6819.00,12646.00
94400,6674.00,12916.00
94500,6223.00,12847.00
94600,6680.00,13337.00
94700,6624.00,13565.00
94800,7112.00,12234.00
94900,5119.00,16410.00
95000,8629.00,16875.00
95100,6322.00,15594.00
95200,8393.00,17341.00
95300,8671.00,16536.00
95400,8771.00,16843.00
95500,5178.00,16762.00
95600,8625.00,17457.00
95700,8658.00,16305.00
95800,9111.00,15666.00
